sn,FID,agf,plotID,transect,County,genus,species,dbh,height,canopyd,latitude,longitude,altitude,accuracy
750,6673,cropland_agroforestry,176,2,Nyamira,Grevillea,robusta,12,250,100,-0.6714333,34.8330247,1779.3,4.64
751,1529,cropland_agroforestry,154,4,Murang'a,Acacia,mearnsii,24,700,230,-0.6714316,36.9439197,1833.4,4.6
752,6671,cropland_agroforestry,176,2,Nyamira,Grevillea,robusta,30,700,100,-0.6714158,34.832929,1779.6,4.7
753,6743,cropland_agroforestry,176,2,Nyamira,Grevillea,robusta,60,780,250,-0.671375,34.833155,1783.5,4.3
754,2632,cropland_agroforestry,154,4,Murang'a,Grevillea,robusta,70,2300,450,-0.6713618,36.9440017,1833.1,4.86
755,2633,cropland_agroforestry,154,4,Murang'a,Grevillea,robusta,42,1900,300,-0.6713562,36.9439909,1833.3,4.98
756,2235,cropland_agroforestry,154,4,Murang'a,Grevillea,robusta,60,2200,600,-0.6713413,36.9439809,1833.3,4.92
757,6741,cropland_agroforestry,176,2,Nyamira,Grevillea,robusta,55,830,300,-0.671285,34.833055,1783.7,4.3
758,6742,cropland_agroforestry,176,2,Nyamira,Grevillea,robusta,60,800,330,-0.6712727,34.8330563,1783.8,4.5
759,6273,cropland_agroforestry,176,2,Nyamira,Musa,acuminata,15,165,100,-0.6712692,34.8325509,1779.6,4.5
760,7039,cropland_agroforestry,176,2,Nyamira,Eucalyptus,robusta,80,1300,250,-0.6712484,34.8324482,1779.7,4.45
761,6321,cropland_agroforestry,176,2,Nyamira,Acacia,mearnsii,18,330,100,-0.6712366,34.8329327,1783.8,4.625
762,7040,cropland_agroforestry,176,2,Nyamira,Eucalyptus,robusta,80,1200,120,-0.6712185,34.8326071,1779.7,4.76
763,6313,cropland_agroforestry,176,2,Nyamira,Acacia,mearnsii,24,550,250,-0.671185,34.8330334,1795.4,3.46
764,6740,cropland_agroforestry,176,2,Nyamira,Grevillea,robusta,25,650,100,-0.6711604,34.8327274,1784.2,4.3
765,2535,cropland_agroforestry,154,4,Murang'a,Grevillea,robusta,35,1200,300,-0.6711506,36.9440103,1858.4,4.66
766,6738,cropland_agroforestry,176,2,Nyamira,Grevillea,robusta,65,1100,400,-0.6710929,34.8327702,1786.6,3.9
767,6218,cropland_agroforestry,176,2,Nyamira,Musa,acuminata,28,150,100,-0.6710685,34.8327708,1786.4,4.466
768,6739,cropland_agroforestry,176,2,Nyamira,Grevillea,robusta,50,950,220,-0.6710411,34.8328377,1785.1,4.85
769,6969,cropland_agroforestry,176,2,Nyamira,Eucalyptus,robusta,80,1500,500,-0.6709124,34.8325545,1789.5,4.8
770,6737,cropland_agroforestry,176,2,Nyamira,Grevillea,robusta,80,900,100,-0.6708338,34.832619,1790.3,4.08
771,7009,cropland_agroforestry,173,1,Nyamira,Eucalyptus,robusta,32,2800,400,-0.6694451,35.0589518,1804.2,4.566
772,7011,cropland_agroforestry,173,1,Nyamira,Eucalyptus,robusta,40,1700,430,-0.6693251,35.0591298,1803.6,5
773,7008,cropland_agroforestry,173,1,Nyamira,Eucalyptus,robusta,35,2100,350,-0.6693151,35.0589334,1805.8,3.3
774,7010,cropland_agroforestry,173,1,Nyamira,Eucalyptus,robusta,38,1400,308,-0.6693133,35.0590267,1802.3,3.5
775,6668,cropland_agroforestry,173,1,Nyamira,Grevillea,robusta,90,1100,200,-0.6691968,35.0596137,1830,4.9
776,6712,cropland_agroforestry,173,1,Nyamira,Grevillea,robusta,34,800,200,-0.6691867,35.0591379,1805.5,3.75
777,6713,cropland_agroforestry,173,1,Nyamira,Grevillea,robusta,30,950,180,-0.6691856,35.059051,1805.3,3.44
778,6711,cropland_agroforestry,173,1,Nyamira,Grevillea,robusta,40,1300,340,-0.6691669,35.0590999,1804.1,3.8
779,6267,cropland_agroforestry,173,1,Nyamira,Musa,acuminata,40,500,100,-0.6691617,35.05987,1819.1,4.6
780,6222,cropland_agroforestry,173,1,Nyamira,Musa,acuminata,50,430,150,-0.6691582,35.0599522,1817.2,3.6
781,6227,cropland_agroforestry,173,1,Nyamira,Musa,acuminata,24,700,200,-0.6691533,35.0599917,1806.9,4.7
782,6271,cropland_agroforestry,173,1,Nyamira,Musa,acuminata,50,500,100,-0.669149,35.0596747,1827.4,4.55
783,6270,cropland_agroforestry,173,1,Nyamira,Musa,acuminata,50,500,100,-0.6691417,35.059675,1827.3,4.1
