uid,species,latitude,longitude,occurrence,bio1,bio2,bio3,bio4,bio5,bio6,bio7,bio8,bio9,bio10,bio11,bio12,bio13,bio14,bio15,bio16,bio17,bio18,bio19,elevation,slope,aspect,hillshade,twi
17294,Musa,35.39631182,0.095855523,0,18.29999924,13,40.59999847,681.2000122,36,4.099999905,31.89999962,11,28.5,27,10.60000038,469,82,2,67.09999847,220,19,19,209,652,0.15838602,72.87619,0.7061901,6.5840917
17295,Musa,35.35547345,0.126024555,0,19,13.30000019,41.59999847,670.7000122,36.59999847,4.5,32.09999847,11.89999962,28.89999962,27.60000038,11.39999962,439,81,1,68.19999695,209,17,21,198,463,0.25157714,171.35349,0.70459944,7.9931755
17296,Musa,35.39904697,0.026097046,0,18.60000038,12.89999962,41.5,663.5,35.79999924,4.699999809,31.10000038,11.5,28.39999962,27.10000038,11.10000038,467,83,1,68.69999695,223,18,18,212,572,5.4231386,21.529278,0.73055834,3.453172
17297,Musa,35.28509745,0.19039989,0,19.10000038,13.30000019,40.79999924,688.2999878,37.20000076,4.599999905,32.59999847,11.69999981,29.5,27.89999962,11.30000019,423,76,1,65.90000153,196,19,19,185,485,0.81212413,289.56934,0.716087,4.9494095
17298,Musa,35.38714753,0.046979742,0,18.60000038,13,41.29999924,669.4000244,35.90000153,4.5,31.39999962,11.39999962,28.5,27.10000038,11,466,83,1,68.5,222,18,18,211,588,5.1592116,30.918423,0.7197126,3.0978825
17299,Musa,35.40065996,-0.020136061,0,19.20000076,12.60000038,41.90000153,629.7999878,35.5,5.5,30,12.39999962,28.20000076,27.20000076,12,434,79,1,70.09999847,206,15,17,201,406,5.244545,229.5499,0.7092738,3.0813873
17300,Musa,35.38339353,0.082598264,0,18.5,13,41.20000076,671.2000122,36,4.400000095,31.60000038,11.39999962,28.5,27.10000038,10.89999962,472,84,1,68.80000305,225,17,17,213,583,1.6490122,240.65547,0.71230495,4.6463866
17301,Musa,35.37585045,-0.024725808,0,19.5,12.60000038,42.20000076,618.5,35.70000076,5.900000095,29.79999924,12.89999962,28.29999924,27.39999962,12.39999962,411,75,1,70.69999695,195,13,15,191,314,4.2442613,225.56485,0.7056835,3.2939749
17302,Musa,35.38381443,-0.054157014,0,19.89999962,12.5,42.70000076,597,35.70000076,6.5,29.20000076,13.5,28.20000076,27.5,13.10000038,378,66,1,67.90000153,174,13,16,172,177,2.927044,249.98604,0.72143614,5.9178023
17303,Musa,35.28791311,0.230986825,0,18.89999962,13.10000038,40.20000076,695.7000122,37.09999847,4.5,32.59999847,11.5,29.39999962,27.89999962,11.10000038,429,75,1,64.69999695,196,19,19,186,551,1.8377893,318.08133,0.72938716,5.0487585
17304,Musa,35.31935243,0.169726693,0,19.10000038,13.39999962,41.09999847,681.5,37,4.5,32.5,11.80000019,29.20000076,27.79999924,11.30000019,428,78,1,67.30000305,201,17,17,191,467,0.09789584,309.43207,0.7083082,8.674663
17305,Musa,35.32612184,0.169694029,0,19.10000038,13.30000019,41.09999847,681.5,37,4.5,32.5,11.80000019,29.20000076,27.79999924,11.30000019,429,78,1,67.59999847,202,17,17,192,466,0.08566412,309.42917,0.7081582,7.60416
17306,Musa,35.39214732,0.015017847,0,18.79999924,12.80000019,41.5,656.4000244,35.79999924,4.900000095,30.89999962,11.69999981,28.39999962,27.10000038,11.30000019,462,83,1,69.30000305,221,17,19,211,530,4.106891,244.96295,0.7225806,3.7324584
17307,Musa,35.39158735,0.028942871,0,18.20000076,13,41.09999847,677.7999878,35.90000153,4.199999809,31.70000076,10.89999962,28.39999962,26.89999962,10.5,462,79,2,65.80000305,214,20,20,204,691,1.8821526,301.34155,0.72929263,4.108598
17308,Musa,35.39320873,0.061253537,0,18.70000076,12.80000019,41.20000076,663.0999756,35.79999924,4.699999809,31.10000038,11.60000038,28.39999962,27.10000038,11.10000038,471,84,1,68.90000153,225,17,20,213,540,4.4943566,343.65128,0.7535573,3.2364976
17309,Musa,35.40400123,-0.009679405,0,19.10000038,12.60000038,41.90000153,633.5999756,35.59999847,5.5,30.10000038,12.30000019,28.20000076,27.20000076,11.89999962,436,80,1,70.59999847,209,15,17,203,417,4.472553,211.99803,0.69254756,3.2413807
17310,Musa,35.35685693,0.120283609,0,19,13.30000019,41.59999847,670.7000122,36.59999847,4.5,32.09999847,11.89999962,28.89999962,27.5,11.39999962,439,81,1,68.19999695,209,17,21,198,463,0.4712804,160.05795,0.7018141,5.899119
17311,Musa,35.32924581,0.17838535,0,19.10000038,13.30000019,41.09999847,680.2000122,36.90000153,4.5,32.40000153,11.80000019,29.20000076,27.79999924,11.30000019,429,78,1,67.40000153,202,17,17,192,467,0.097901836,309.42917,0.7083083,9.011073
17312,Musa,35.27345804,0.246312346,0,18.5,13,39.59999847,709.4000244,37.09999847,4.199999809,32.90000153,10.89999962,29.29999924,27.70000076,10.5,432,71,2,62,191,21,21,183,688,1.8466163,277.25165,0.7247564,4.1276727
17313,Musa,35.38760902,0.067680453,0,18.60000038,13,41.20000076,668.7000122,36,4.5,31.5,11.39999962,28.5,27.10000038,11,471,84,1,68.69999695,224,17,17,212,567,2.2620082,28.455893,0.714503,3.9246016
