,species,latitude,longitude,occurrence,bio1,bio2,bio3,bio4,bio5,bio6,bio7,bio8,bio9,bio10,bio11,bio12,bio13,bio14,bio15,bio16,bio17,bio18,bio19,elevation,slope,aspect,hillshade,twi
11243,Eucalyptus,39.0038773,-3.576934243,0,17.10000038,14.10000038,39.09999847,791.4000244,37.70000076,1.600000024,36.09999847,11.60000038,28.60000038,27.39999962,8.199999809,390,50,6,43.59999847,136,34,42,131,638,0.03108993,1.46e-12,0.707378,11.662232
11244,Eucalyptus,38.35251425,-3.885841904,0,17.70000076,13.10000038,38.5,748.7000122,37.09999847,3.0,34.09999847,9.300000191,28.60000038,27.29999924,9.199999809,433,58,4,49.70000076,162,30,34,157,576,6.5843034,216.38492,0.69029737,4.461708
11245,Eucalyptus,38.07234724,-3.785666984,0,19.29999924,13.89999962,40.40000153,737.4000244,38.79999924,4.300000191,34.5,11.0,30.0,28.70000076,10.89999962,407,57,4,52.79999924,161,27,28,153,350,2.1566725,81.71548,0.6906974,3.972335
11246,Eucalyptus,37.9559814,-3.638466111,0,19.70000076,14.0,41.09999847,718.4000244,38.70000076,4.699999809,34.0,11.5,30.20000076,28.79999924,11.39999962,392,55,4,53.20000076,156,26,26,146,265,0.8965039,171.21677,0.69809425,8.474886
11247,Eucalyptus,38.46665373,-3.799551413,0,16.20000076,13.10000038,37.79999924,765.4000244,36.20000076,1.600000024,34.59999847,7.900000095,27.5,26.20000076,7.699999809,460,60,5,48.79999924,169,32,38,166,838,3.5415382,230.53242,0.7099675,3.4755383
11248,Eucalyptus,38.29746041,-3.774161767,0,17.5,13.89999962,39.40000153,764.0,37.90000153,2.5,35.40000153,9.100000381,28.70000076,27.39999962,9.0,440,59,4,49.70000076,164,30,35,161,694,4.883141,262.51868,0.7411981,3.15316
11249,Eucalyptus,38.26389477,-3.453121324,0,18.39999962,14.30000019,40.09999847,768.4000244,38.90000153,3.299999952,35.59999847,9.899999619,29.70000076,28.39999962,9.800000191,390,52,4,48.5,144,29,32,139,533,2.1087089,185.87772,0.6902109,3.9948466
11250,Eucalyptus,37.90067505,-2.911277824,0,13.69999981,12.60000038,37.29999924,754.7999878,33.40000153,-0.300000012,33.70000076,5.800000191,24.89999962,23.60000038,5.400000095,511,64,6,46.90000153,181,38,43,178,1275,10.063903,301.4188,0.81633615,3.1152074
11251,Eucalyptus,38.21336639,-2.913037649,0,15.5,13.60000038,38.5,784.2000122,36.09999847,0.800000012,35.29999924,7.099999905,27.20000076,25.79999924,6.900000095,461,56,6,45.70000076,160,36,41,158,1034,3.4711692,178.5438,0.67477685,3.4956582
11252,Eucalyptus,38.02928061,-3.38436409,0,17.29999924,13.89999962,39.59999847,756.4000244,37.5,2.5,35.0,8.899999619,28.39999962,27.10000038,8.800000191,420,54,4,48.79999924,154,29,33,150,730,1.4095328,311.42,0.72425264,4.803379
11253,Eucalyptus,38.31248882,-4.024831523,0,17.39999962,14.0,39.70000076,752.7000122,37.59999847,2.400000095,35.20000076,9.100000381,28.39999962,27.10000038,8.899999619,460,62,4,50.5,175,31,35,169,655,1.1287766,292.67804,0.7198554,4.6201105
11254,Eucalyptus,39.1124399,-3.406237589,0,16.89999962,14.19999981,39.5,782.2999878,37.29999924,1.399999976,35.90000153,8.199999809,28.29999924,27.10000038,8.100000381,392,50,6,44.09999847,138,34,40,133,645,0.050693035,336.91827,0.7076869,7.7233405
11255,Eucalyptus,37.65663668,-3.473635103,0,15.19999981,14.0,40.0,742.0999756,35.59999847,0.699999988,34.90000153,7.199999809,26.20000076,24.89999962,7.0,515,69,5,50.09999847,190,34,38,186,1157,5.853442,138.95888,0.63147825,2.9708567
11256,Eucalyptus,38.70939339,-3.792515586,0,17.20000076,14.10000038,39.20000076,784.0,37.70000076,1.700000048,36.0,8.399999619,28.60000038,27.29999924,8.300000191,412,54,5,45.79999924,148,33,40,143,641,0.47660592,36.958336,0.7079052,7.7337084
11257,Eucalyptus,37.95605844,-3.523610278,0,19.29999924,13.89999962,40.90000153,720.7000122,38.40000153,4.400000095,34.0,11.19999981,29.89999962,28.5,11.10000038,386,52,4,52.20000076,151,26,26,141,336,2.7934732,202.629,0.6931504,3.7132957
11258,Eucalyptus,38.19153697,-3.206493664,0,17.89999962,14.10000038,39.70000076,766.2000122,38.20000076,2.799999952,35.40000153,9.300000191,29.10000038,27.89999962,9.300000191,390,51,4,48.20000076,142,29,31,138,592,2.2558057,171.24971,0.6841134,4.332815
11259,Eucalyptus,39.02172829,-3.405389925,0,17.10000038,14.39999962,39.40000153,795.2999878,37.90000153,1.399999976,36.5,8.199999809,28.70000076,27.39999962,8.100000381,396,51,6,44.40000153,140,34,40,135,652,0.08090025,258.92172,0.70766324,7.255912
11260,Eucalyptus,39.13371217,-3.245753371,0,17.0,14.30000019,39.40000153,788.0999756,37.59999847,1.399999976,36.20000076,8.199999809,28.5,27.20000076,8.100000381,400,51,6,43.90000153,140,35,41,135,654,0.05490007,295.13327,0.70774364,7.6436143
11261,Eucalyptus,38.1432597,-3.426748679,0,19.0,13.69999981,39.79999924,747.9000244,38.59999847,4.099999905,34.5,10.69999981,29.89999962,28.70000076,10.60000038,376,50,4,49.70000076,142,27,29,136,400,2.8984478,184.6526,0.6830534,4.0818105
11262,Eucalyptus,38.21190736,-3.939322684,0,17.70000076,13.5,39.20000076,749.2999878,37.40000153,3.0,34.40000153,9.5,28.70000076,27.39999962,9.300000191,448,61,4,51.70000076,174,29,33,167,610,2.375209,6.16311,0.7248765,3.8757155
11263,Eucalyptus,38.29165154,-3.442257022,0,18.20000076,14.5,40.29999924,771.7000122,39.0,3.0,36.0,9.699999809,29.5,28.20000076,9.600000381,395,53,4,48.29999924,146,29,33,142,564,0.7326603,53.55521,0.7057039,5.052393
11264,Eucalyptus,38.73910546,-3.908764452,0,16.29999924,13.19999981,37.79999924,774.7999878,36.29999924,1.399999976,34.90000153,7.800000191,27.70000076,26.39999962,7.599999905,435,58,5,46.5,158,33,41,153,787,1.3363506,190.65457,0.6976106,4.4512506
11265,Eucalyptus,38.07605407,-3.0715287,0,17.89999962,14.10000038,40.20000076,753.7000122,38.0,2.900000095,35.09999847,9.600000381,29.0,27.70000076,9.5,381,48,4,47.79999924,137,28,31,132,555,2.6329336,160.22571,0.6769755,5.382009
11266,Eucalyptus,38.51576399,-3.047028784,0,16.60000038,14.60000038,39.70000076,802.5,38.09999847,1.200000048,36.90000153,7.699999809,28.5,27.10000038,7.699999809,419,54,5,46.5,147,32,38,144,795,1.1729444,277.61472,0.7184598,7.1466665
11267,Eucalyptus,38.34213031,-3.048224224,0,17.20000076,14.39999962,39.70000076,788.5,38.20000076,1.899999976,36.29999924,8.5,28.89999962,27.5,8.399999619,403,51,5,46.09999847,143,32,36,139,688,0.23880412,155.68916,0.70434356,8.738429
11268,Eucalyptus,38.34120287,-3.320729907,0,17.89999962,13.39999962,39.29999924,749.7999878,37.40000153,3.200000048,34.20000076,9.600000381,28.89999962,27.60000038,9.5,374,51,4,49.20000076,139,27,30,135,505,3.5769763,153.95114,0.6640045,5.6056223
11269,Eucalyptus,38.80973764,-3.650997447,0,17.10000038,14.19999981,39.20000076,791.0999756,37.79999924,1.600000024,36.20000076,8.199999809,28.60000038,27.39999962,8.199999809,405,53,5,45.90000153,144,32,40,140,665,1.273219,174.20232,0.69475675,5.7524242
11270,Eucalyptus,38.2928775,-3.003328003,0,17.89999962,14.19999981,39.79999924,774.4000244,38.29999924,2.700000048,35.59999847,9.300000191,29.29999924,28.0,9.199999809,373,48,4,47.70000076,134,28,31,130,537,0.86250794,162.77437,0.6976089,8.354945
11271,Eucalyptus,38.18465717,-3.101389445,0,17.70000076,13.89999962,39.5,768.2000122,37.90000153,2.599999905,35.29999924,9.100000381,28.89999962,27.70000076,9.0,385,50,4,47.79999924,139,29,31,136,602,3.43391,130.62405,0.663607,3.5064764
11272,Eucalyptus,38.25637228,-2.861704088,0,16.70000076,13.5,38.70000076,769.0999756,36.79999924,1.899999976,34.90000153,8.399999619,28.10000038,26.79999924,8.100000381,396,50,5,46.29999924,140,31,35,137,705,1.1728665,170.84877,0.6952267,8.031772
11273,Eucalyptus,38.60426732,-3.61402773,0,16.79999924,14.39999962,39.5,789.2999878,37.79999924,1.299999952,36.5,8.100000381,28.5,27.10000038,8.0,429,56,6,46.0,153,34,41,149,745,0.86919206,62.292473,0.7038369,4.881489
11274,Eucalyptus,37.68075924,-3.359267694,0,15.0,14.10000038,39.90000153,751.0,35.70000076,0.400000006,35.29999924,7.0,26.10000038,24.79999924,6.699999809,510,67,5,49.0,187,35,40,184,1197,8.37202,16.720333,0.74834895,2.6093264
11275,Eucalyptus,39.06198919,-3.627118957,0,17.10000038,13.89999962,39.0,781.5,37.20000076,1.600000024,35.59999847,8.399999619,28.39999962,27.20000076,8.199999809,386,50,6,43.40000153,134,34,41,130,618,0.061574087,104.6231,0.70645076,9.78018
